MatNo,Plant,MatGroupName,FinancialYear,Month,month_index,actual,xgb_pred,wma_pred
MAT0001,Chennai Plant,Nova,2025-26,April,12,140,133.4352569580078,125.66666666666667
MAT0001,Pune Plant,Nova,2025-26,April,12,133,131.34072875976562,127.16666666666667
MAT0002,Chennai Plant,Nova,2025-26,April,12,154,137.40773010253906,138.5
MAT0002,Delhi Plant,Nova,2025-26,April,12,163,131.91188049316406,130.66666666666666
MAT0003,Coimbatore Plant,Pearl,2025-26,April,12,201,253.39808654785156,242.0
MAT0004,Chennai Plant,Pearl,2025-26,April,12,139,106.33055877685547,70.5
MAT0004,Delhi Plant,Pearl,2025-26,April,12,139,104.1246337890625,73.5
MAT0004,Pune Plant,Pearl,2025-26,April,12,149,104.05060577392578,77.5
MAT0005,Bengaluru Plant,Sleek,2025-26,April,12,421,508.71978759765625,394.8333333333333
MAT0005,Pune Plant,Sleek,2025-26,April,12,381,466.6812438964844,393.5
MAT0006,Chennai Plant,Sleek,2025-26,April,12,120,123.3526382446289,109.16666666666667
MAT0006,Coimbatore Plant,Sleek,2025-26,April,12,124,136.8551788330078,111.66666666666667
MAT0007,Bengaluru Plant,AeroBreeze,2025-26,April,12,26,9.015308380126953,12.333333333333334
MAT0007,Chennai Plant,AeroBreeze,2025-26,April,12,24,13.188965797424316,12.333333333333334
MAT0007,Delhi Plant,AeroBreeze,2025-26,April,12,24,10.721965789794922,12.5
MAT0007,Pune Plant,AeroBreeze,2025-26,April,12,25,11.624801635742188,12.666666666666666
MAT0008,Delhi Plant,CoolAir,2025-26,April,12,141,213.41357421875,266.1666666666667
MAT0009,Bengaluru Plant,Luminex,2025-26,April,12,316,307.70037841796875,298.8333333333333
MAT0009,Chennai Plant,Luminex,2025-26,April,12,294,289.8664855957031,295.6666666666667
MAT0010,Delhi Plant,BrightMax,2025-26,April,12,139,136.60556030273438,138.66666666666666
MAT0010,Pune Plant,BrightMax,2025-26,April,12,147,134.5657501220703,142.66666666666666
MAT0011,Chennai Plant,FlexiCore,2025-26,April,12,47,49.00297164916992,45.0
MAT0012,Coimbatore Plant,SafeLine,2025-26,April,12,24,19.62308120727539,20.333333333333332
MAT0012,Pune Plant,SafeLine,2025-26,April,12,25,19.39992904663086,20.333333333333332
MAT0013,Bengaluru Plant,DuraFix,2025-26,April,12,117,121.46075439453125,122.16666666666667
MAT0013,Delhi Plant,DuraFix,2025-26,April,12,131,128.84481811523438,127.16666666666667
MAT0014,Bengaluru Plant,SteelGrip,2025-26,April,12,13,4.649770736694336,10.833333333333334
MAT0014,Chennai Plant,SteelGrip,2025-26,April,12,134,136.9584503173828,117.33333333333333
MAT0014,Coimbatore Plant,SteelGrip,2025-26,April,12,68,59.915287017822266,55.833333333333336
MAT0014,Delhi Plant,SteelGrip,2025-26,April,12,27,19.065732955932617,22.666666666666668
MAT0014,Pune Plant,SteelGrip,2025-26,April,12,34,29.989160537719727,33.833333333333336
MAT0015,Pune Plant,StdGrade,2025-26,April,12,215,230.04574584960938,229.16666666666666
MAT0016,Chennai Plant,StdGrade,2025-26,April,12,65,122.6518783569336,127.0
MAT0016,Delhi Plant,StdGrade,2025-26,April,12,67,117.47920227050781,123.33333333333333
MAT0017,Bengaluru Plant,ReadyPack,2025-26,April,12,199,267.6797790527344,281.8333333333333
MAT0018,Bengaluru Plant,ClipFix,2025-26,April,12,472,472.0331726074219,422.0
MAT0018,Coimbatore Plant,ClipFix,2025-26,April,12,502,458.02642822265625,484.1666666666667
