MatNo,Plant,origin,horizon,month_index,actual,xgb_pred,wma_pred
MAT0001,Chennai Plant,12,1,12,140,133.4352569580078,125.66666666666667
MAT0001,Pune Plant,12,1,12,133,131.34072875976562,127.16666666666667
MAT0002,Chennai Plant,12,1,12,154,137.40773010253906,138.5
MAT0002,Delhi Plant,12,1,12,163,131.91188049316406,130.66666666666666
MAT0003,Coimbatore Plant,12,1,12,201,253.39808654785156,242.0
MAT0004,Chennai Plant,12,1,12,139,106.33055877685547,70.5
MAT0004,Delhi Plant,12,1,12,139,104.1246337890625,73.5
MAT0004,Pune Plant,12,1,12,149,104.05060577392578,77.5
MAT0005,Bengaluru Plant,12,1,12,421,508.71978759765625,394.8333333333333
MAT0005,Pune Plant,12,1,12,381,466.6812438964844,393.5
MAT0006,Chennai Plant,12,1,12,120,123.3526382446289,109.16666666666667
MAT0006,Coimbatore Plant,12,1,12,124,136.8551788330078,111.66666666666667
MAT0007,Bengaluru Plant,12,1,12,26,9.015308380126953,12.333333333333334
MAT0007,Chennai Plant,12,1,12,24,13.188965797424316,12.333333333333334
MAT0007,Delhi Plant,12,1,12,24,10.721965789794922,12.5
MAT0007,Pune Plant,12,1,12,25,11.624801635742188,12.666666666666666
MAT0008,Delhi Plant,12,1,12,141,213.41357421875,266.1666666666667
MAT0009,Bengaluru Plant,12,1,12,316,307.70037841796875,298.8333333333333
MAT0009,Chennai Plant,12,1,12,294,289.8664855957031,295.6666666666667
MAT0010,Delhi Plant,12,1,12,139,136.60556030273438,138.66666666666666
MAT0010,Pune Plant,12,1,12,147,134.5657501220703,142.66666666666666
MAT0011,Chennai Plant,12,1,12,47,49.00297164916992,45.0
MAT0012,Coimbatore Plant,12,1,12,24,19.62308120727539,20.333333333333332
MAT0012,Pune Plant,12,1,12,25,19.39992904663086,20.333333333333332
MAT0013,Bengaluru Plant,12,1,12,117,121.46075439453125,122.16666666666667
MAT0013,Delhi Plant,12,1,12,131,128.84481811523438,127.16666666666667
MAT0014,Bengaluru Plant,12,1,12,13,4.649770736694336,10.833333333333334
MAT0014,Chennai Plant,12,1,12,134,136.9584503173828,117.33333333333333
MAT0014,Coimbatore Plant,12,1,12,68,59.915287017822266,55.833333333333336
MAT0014,Delhi Plant,12,1,12,27,19.065732955932617,22.666666666666668
MAT0014,Pune Plant,12,1,12,34,29.989160537719727,33.833333333333336
MAT0015,Pune Plant,12,1,12,215,230.04574584960938,229.16666666666666
MAT0016,Chennai Plant,12,1,12,65,122.6518783569336,127.0
MAT0016,Delhi Plant,12,1,12,67,117.47920227050781,123.33333333333333
MAT0017,Bengaluru Plant,12,1,12,199,267.6797790527344,281.8333333333333
MAT0018,Bengaluru Plant,12,1,12,472,472.0331726074219,422.0
MAT0018,Coimbatore Plant,12,1,12,502,458.02642822265625,484.1666666666667
MAT0001,Chennai Plant,12,2,13,133,131.29579162597656,125.0
MAT0001,Pune Plant,12,2,13,143,128.69683837890625,126.75
MAT0002,Chennai Plant,12,2,13,169,133.40869140625,139.25
MAT0002,Delhi Plant,12,2,13,156,133.66592407226562,131.33333333333334
MAT0003,Coimbatore Plant,12,2,13,228,246.1591796875,239.66666666666666
MAT0004,Chennai Plant,12,2,13,149,115.2772445678711,69.58333333333333
MAT0004,Delhi Plant,12,2,13,161,108.17784881591797,73.91666666666667
MAT0004,Pune Plant,12,2,13,165,109.33148956298828,77.41666666666667
MAT0005,Bengaluru Plant,12,2,13,366,542.6825561523438,397.5833333333333
MAT0005,Pune Plant,12,2,13,370,550.78955078125,396.75
MAT0006,Chennai Plant,12,2,13,122,132.12953186035156,108.58333333333333
MAT0006,Coimbatore Plant,12,2,13,119,138.74449157714844,112.33333333333333
MAT0007,Bengaluru Plant,12,2,13,26,12.98776626586914,12.333333333333334
MAT0007,Chennai Plant,12,2,13,27,14.961533546447754,12.333333333333334
MAT0007,Delhi Plant,12,2,13,25,14.494278907775879,12.416666666666666
MAT0007,Pune Plant,12,2,13,24,14.366737365722656,12.833333333333334
MAT0008,Delhi Plant,12,2,13,397,246.94569396972656,279.4166666666667
MAT0009,Bengaluru Plant,12,2,13,290,318.2630920410156,297.5833333333333
MAT0009,Chennai Plant,12,2,13,312,357.74444580078125,297.8333333333333
MAT0010,Delhi Plant,12,2,13,162,136.388916015625,137.5
MAT0010,Pune Plant,12,2,13,152,139.2774658203125,142.5
MAT0011,Chennai Plant,12,2,13,46,46.042991638183594,44.833333333333336
MAT0012,Coimbatore Plant,12,2,13,23,20.700292587280273,20.5
MAT0012,Pune Plant,12,2,13,22,21.08815574645996,20.333333333333332
MAT0013,Bengaluru Plant,12,2,13,129,121.9316635131836,124.58333333333333
MAT0013,Delhi Plant,12,2,13,121,129.8054962158203,126.75
MAT0014,Bengaluru Plant,12,2,13,12,13.207451820373535,10.916666666666666
MAT0014,Chennai Plant,12,2,13,138,137.4232177734375,115.33333333333333
MAT0014,Coimbatore Plant,12,2,13,63,58.833251953125,55.916666666666664
MAT0014,Delhi Plant,12,2,13,29,22.49097442626953,22.666666666666668
MAT0014,Pune Plant,12,2,13,42,27.68503761291504,33.416666666666664
MAT0015,Pune Plant,12,2,13,242,229.36380004882812,231.08333333333334
MAT0016,Chennai Plant,12,2,13,63,132.668701171875,127.33333333333333
MAT0016,Delhi Plant,12,2,13,70,129.4072265625,122.83333333333333
MAT0017,Bengaluru Plant,12,2,13,188,267.2251281738281,281.25
MAT0018,Bengaluru Plant,12,2,13,459,460.41876220703125,423.0
MAT0018,Coimbatore Plant,12,2,13,525,451.6575012207031,484.4166666666667
MAT0001,Chennai Plant,12,3,14,127,129.3613739013672,124.72222222222223
MAT0001,Pune Plant,12,3,14,133,125.57300567626953,126.93055555555556
MAT0002,Chennai Plant,12,3,14,172,123.02774047851562,139.29166666666666
MAT0002,Delhi Plant,12,3,14,164,127.11223602294922,131.22222222222223
MAT0003,Coimbatore Plant,12,3,14,207,255.7702178955078,238.83333333333334
MAT0004,Chennai Plant,12,3,14,164,118.2594223022461,69.625
MAT0004,Delhi Plant,12,3,14,136,115.87779998779297,74.125
MAT0004,Pune Plant,12,3,14,161,115.22669982910156,77.20833333333333
MAT0005,Bengaluru Plant,12,3,14,415,477.5878601074219,396.2361111111111
MAT0005,Pune Plant,12,3,14,404,453.6324462890625,398.7083333333333
MAT0006,Chennai Plant,12,3,14,118,130.57626342773438,107.68055555555556
MAT0006,Coimbatore Plant,12,3,14,114,134.33511352539062,112.8888888888889
MAT0007,Bengaluru Plant,12,3,14,24,12.420244216918945,12.444444444444445
MAT0007,Chennai Plant,12,3,14,24,14.986783981323242,12.277777777777779
MAT0007,Delhi Plant,12,3,14,28,13.878905296325684,12.375
MAT0007,Pune Plant,12,3,14,26,14.086493492126465,12.805555555555555
MAT0008,Delhi Plant,12,3,14,242,213.6248321533203,278.2638888888889
MAT0009,Bengaluru Plant,12,3,14,323,374.1741638183594,297.40277777777777
MAT0009,Chennai Plant,12,3,14,321,366.71575927734375,298.63888888888886
MAT0010,Delhi Plant,12,3,14,140,133.42628479003906,136.80555555555554
MAT0010,Pune Plant,12,3,14,161,129.13067626953125,142.30555555555554
MAT0011,Chennai Plant,12,3,14,45,45.64323425292969,44.916666666666664
MAT0012,Coimbatore Plant,12,3,14,22,20.371728897094727,20.36111111111111
MAT0012,Pune Plant,12,3,14,23,19.98334503173828,20.444444444444443
MAT0013,Bengaluru Plant,12,3,14,111,115.10026550292969,123.84722222222223
MAT0013,Delhi Plant,12,3,14,100,117.12265014648438,126.09722222222223
MAT0014,Bengaluru Plant,12,3,14,14,12.519261360168457,10.902777777777779
MAT0014,Chennai Plant,12,3,14,155,137.06248474121094,115.44444444444444
MAT0014,Coimbatore Plant,12,3,14,70,55.3507194519043,56.40277777777778
MAT0014,Delhi Plant,12,3,14,27,21.483135223388672,22.722222222222225
MAT0014,Pune Plant,12,3,14,41,25.789793014526367,33.31944444444444
MAT0015,Pune Plant,12,3,14,217,216.5304412841797,230.93055555555554
MAT0016,Chennai Plant,12,3,14,67,124.91494750976562,126.66666666666667
MAT0016,Delhi Plant,12,3,14,65,122.09130859375,122.69444444444444
MAT0017,Bengaluru Plant,12,3,14,224,271.4959411621094,280.90277777777777
MAT0018,Bengaluru Plant,12,3,14,490,473.056884765625,421.5
MAT0018,Coimbatore Plant,12,3,14,517,430.44482421875,484.09722222222223
MAT0001,Chennai Plant,12,4,15,124,126.15553283691406,124.97222222222223
MAT0001,Pune Plant,12,4,15,143,124.45005798339844,126.90972222222223
MAT0002,Chennai Plant,12,4,15,162,126.89746856689453,139.14583333333334
MAT0002,Delhi Plant,12,4,15,168,127.63667297363281,131.16666666666666
MAT0003,Coimbatore Plant,12,4,15,196,244.43849182128906,239.63888888888889
MAT0004,Chennai Plant,12,4,15,71,110.6507568359375,69.75694444444444
MAT0004,Delhi Plant,12,4,15,83,102.65684509277344,73.9513888888889
MAT0004,Pune Plant,12,4,15,74,104.85560607910156,77.32638888888889
MAT0005,Bengaluru Plant,12,4,15,802,564.1152954101562,396.45138888888886
MAT0005,Pune Plant,12,4,15,784,544.1182861328125,397.1875
MAT0006,Chennai Plant,12,4,15,113,140.56919860839844,108.22916666666667
MAT0006,Coimbatore Plant,12,4,15,115,134.9780731201172,112.5
MAT0007,Bengaluru Plant,12,4,15,13,9.067009925842285,12.388888888888888
MAT0007,Chennai Plant,12,4,15,12,11.580099105834961,12.305555555555557
MAT0007,Delhi Plant,12,4,15,13,9.418899536132812,12.409722222222221
MAT0007,Pune Plant,12,4,15,14,10.897315979003906,12.791666666666666
MAT0008,Delhi Plant,12,4,15,167,233.25225830078125,276.63194444444446
MAT0009,Bengaluru Plant,12,4,15,294,451.7145690917969,297.70138888888886
MAT0009,Chennai Plant,12,4,15,331,490.67431640625,297.87499999999994
MAT0010,Delhi Plant,12,4,15,141,128.21975708007812,137.3472222222222
MAT0010,Pune Plant,12,4,15,153,135.41705322265625,142.43055555555554
MAT0011,Chennai Plant,12,4,15,45,45.594482421875,44.90277777777778
MAT0012,Coimbatore Plant,12,4,15,24,19.024015426635742,20.402777777777775
MAT0012,Pune Plant,12,4,15,22,19.076623916625977,20.38888888888889
MAT0013,Bengaluru Plant,12,4,15,129,108.0220718383789,123.8125
MAT0013,Delhi Plant,12,4,15,112,114.78961944580078,126.49305555555556
MAT0014,Bengaluru Plant,12,4,15,11,12.969574928283691,10.895833333333334
MAT0014,Chennai Plant,12,4,15,132,125.85720825195312,115.72222222222223
MAT0014,Coimbatore Plant,12,4,15,64,55.93546676635742,56.145833333333336
MAT0014,Delhi Plant,12,4,15,22,20.422536849975586,22.694444444444446
MAT0014,Pune Plant,12,4,15,35,23.978891372680664,33.4375
MAT0015,Pune Plant,12,4,15,209,222.1248779296875,230.6875
MAT0016,Chennai Plant,12,4,15,64,124.81610870361328,126.94444444444444
MAT0016,Delhi Plant,12,4,15,65,114.23104095458984,122.84722222222223
MAT0017,Bengaluru Plant,12,4,15,198,259.4969177246094,281.1736111111111
MAT0018,Bengaluru Plant,12,4,15,479,450.55621337890625,422.0833333333333
MAT0018,Coimbatore Plant,12,4,15,524,387.5828552246094,484.21527777777777
MAT0001,Chennai Plant,12,5,16,128,125.71036529541016,124.89351851851852
MAT0001,Pune Plant,12,5,16,136,127.38829040527344,126.8900462962963
MAT0002,Chennai Plant,12,5,16,145,127.85933685302734,139.21180555555557
MAT0002,Delhi Plant,12,5,16,161,129.69276428222656,131.21296296296296
MAT0003,Coimbatore Plant,12,5,16,205,250.03501892089844,239.375
MAT0004,Chennai Plant,12,5,16,77,107.37879943847656,69.68402777777777
MAT0004,Delhi Plant,12,5,16,84,99.2801513671875,74.00347222222223
MAT0004,Pune Plant,12,5,16,72,100.45904541015625,77.30208333333333
MAT0005,Bengaluru Plant,12,5,16,822,530.1848754882812,396.568287037037
MAT0005,Pune Plant,12,5,16,828,510.3122253417969,397.62152777777777
MAT0006,Chennai Plant,12,5,16,117,137.41973876953125,108.10532407407408
MAT0006,Coimbatore Plant,12,5,16,106,135.36830139160156,112.60185185185185
MAT0007,Bengaluru Plant,12,5,16,14,12.350029945373535,12.398148148148147
MAT0007,Chennai Plant,12,5,16,14,14.158315658569336,12.30092592592593
